detector_date,site
SM3_20120613,GRCAR
SM3_20120614,GRCAR
SM3_20120615,GRCAR
SM2_20120630,GRCAR
SM2_20120701,GRCAR
SM2_20120702,GRCAR
SM2_20120703,GRCAR
SM2_20120616,GRRUR
SM2_20120617,GRRUR
SM2_20120618,GRRUR
SM2_20120619,GRRUR
SM5_20120707,GRRUR
SM5_20120708,GRRUR
SM5_20120709,GRRUR
SM5_20120710,GRRUR
SM1_20120613,GRYOP
SM1_20120614,GRYOP
SM1_20120615,GRYOP
SM1_20120707,GRYOP
SM1_20120708,GRYOP
SM1_20120709,GRYOP
SM1_20120710,GRYOP
SM5_20120613,GRYOR
SM5_20120614,GRYOR
SM5_20120615,GRYOR
SM2_20120707,GRYOR
SM2_20120708,GRYOR
SM2_20120709,GRYOR
SM2_20120710,GRYOR
SM4_20120623,HOCRP
SM4_20120624,HOCRP
SM4_20120625,HOCRP
SM4_20120626,HOCRP
SM3_20120714,HOCRP
SM3_20120715,HOCRP
SM3_20120716,HOCRP
SM3_20120717,HOCRP
SM5_20120623,HOCRR
SM5_20120624,HOCRR
SM5_20120625,HOCRR
SM5_20120626,HOCRR
SM5_20120714,HOCRR
SM5_20120715,HOCRR
SM5_20120716,HOCRR
SM5_20120717,HOCRR
SM4_20120609,HYDER
SM4_20120610,HYDER
SM4_20120611,HYDER
SM4_20120612,HYDER
SM4_20120630,HYDER
SM4_20120701,HYDER
SM4_20120702,HYDER
SM4_20120703,HYDER
SM6_20120616,JPBDR
SM6_20120617,JPBDR
SM6_20120618,JPBDR
SM6_20120619,JPBDR
SM4_20120711,JPBDR
SM4_20120712,JPBDR
SM4_20120713,JPBDR
SM3_20120616,JPHRP
SM3_20120617,JPHRP
SM3_20120618,JPHRP
SM3_20120619,JPHRP
SM3_20120711,JPHRP
SM3_20120712,JPHRP
SM3_20120713,JPHRP
SM1_20120616,JPHRR
SM1_20120617,JPHRR
SM1_20120618,JPHRR
SM1_20120619,JPHRR
SM2_20120711,JPHRR
SM2_20120712,JPHRR
SM2_20120713,JPHRR
SM2_20120620,NA
SM2_20120621,NA
SM2_20120622,NA
SM2_20120623,NA
SM2_20120624,NA
SM2_20120625,NA
SM2_20120626,NA
SM2_20120627,NA
SM2_20120628,NA
SM2_20120629,NA
SM6_20120609,NCTBR
SM6_20120610,NCTBR
SM6_20120611,NCTBR
SM6_20120612,NCTBR
SM3_20120704,NCTBR
SM3_20120705,NCTBR
SM3_20120706,NCTBR
SM3_20120707,NCTBR
SM3_20120708,NCTBR
SM3_20120709,NCTBR
SM3_20120710,NCTBR
SM5_20120609,NCTCR
SM5_20120610,NCTCR
SM5_20120611,NCTCR
SM5_20120612,NCTCR
SM1_20120704,NCTCR
SM1_20120705,NCTCR
SM1_20120706,NCTCR
SM2_20120613,PIKAP
SM2_20120614,PIKAP
SM2_20120615,PIKAP
SM5_20120704,PIKAP
SM5_20120705,PIKAP
SM5_20120706,PIKAP
SM6_20120613,PIKAR
SM6_20120614,PIKAR
SM6_20120615,PIKAR
SM4_20120704,PIKAR
SM4_20120705,PIKAR
SM4_20120706,PIKAR
SM1_20120623,RILAR
SM1_20120624,RILAR
SM1_20120625,RILAR
SM1_20120626,RILAR
SM6_20120714,RILAR
SM6_20120715,RILAR
SM6_20120716,RILAR
SM6_20120717,RILAR
SM6_20120627,RIWRR
SM6_20120628,RIWRR
SM6_20120629,RIWRR
SM1_20120714,RIWRR
SM1_20120715,RIWRR
SM1_20120716,RIWRR
SM1_20120717,RIWRR
SM5_20120620,SMMIP
SM5_20120621,SMMIP
SM5_20120622,SMMIP
SM5_20120711,SMMIP
SM5_20120712,SMMIP
SM5_20120713,SMMIP
SM3_20120620,SMMIR
SM3_20120621,SMMIR
SM3_20120622,SMMIR
SM1_20120711,SMMIR
SM1_20120712,SMMIR
SM1_20120713,SMMIR
SM1_20120620,SMMIX
SM1_20120621,SMMIX
SM1_20120622,SMMIX
SM6_20120711,SMMIX
SM6_20120712,SMMIX
SM6_20120713,SMMIX
