detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA
SM3_20120707,90.0,3.6310282459999996,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,11.0
SM3_20120708,199.0,4.6462475730000001,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,17.0
SM3_20120709,160.0,4.0332871560000001,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
SM3_20120710,108.0,3.7106140809999997,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0
SM3_20120711,775.0,22.556090130000001,1.0,12.0,0.0,0.0,4.0,0.0,3.0,4.0,6.0,2.0,0.0,0.0,45.0,0.0,0.0,77.0
SM3_20120712,434.0,16.985505836000002,2.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,41.0,0.0,0.0,59.0
SM3_20120713,986.0,29.948058427000007,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,7.0,0.0,2.0,86.0,0.0,0.0,106.0
SM3_20120714,446.0,10.927436573,1.0,16.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,36.0
SM3_20120715,265.0,9.0341618099999987,5.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,8.0,1.0,0.0,28.0
SM3_20120716,193.0,8.4116221259999993,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,1.0,0.0,26.0
SM3_20120717,250.0,8.8606671989999981,4.0,6.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,10.0,1.0,0.0,31.0
SM3_20120718,85.0,3.8458458630000001,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,12.0
SM3_20120719,164.0,4.8288890049999997,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,17.0
SM3_20120720,67.0,3.1900238099999996,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
SM4_20120609,460.0,16.290596339999997,0.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,5.0,9.0,0.0,0.0,47.0
SM4_20120610,144.0,3.3272139350000005,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,12.0
SM4_20120611,206.0,7.4277261910000005,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,7.0,10.0,0.0,0.0,23.0
SM4_20120612,559.0,22.392134494999997,0.0,5.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,32.0,12.0,0.0,0.0,61.0
SM4_20120613,13.0,1.2557142860000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0
SM4_20120614,51.0,2.9190378780000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,7.0
SM4_20120615,107.0,3.7273685719999996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0
SM4_20120616,724.0,34.35909232600001,1.0,4.0,0.0,0.0,6.0,1.0,4.0,0.0,1.0,0.0,1.0,31.0,41.0,0.0,0.0,90.0
SM4_20120617,2867.0,84.364771759999968,3.0,27.0,0.0,0.0,71.0,4.0,2.0,0.0,1.0,1.0,2.0,95.0,21.0,0.0,0.0,227.0
SM4_20120618,2325.0,53.106967198999982,0.0,15.0,0.0,0.0,31.0,2.0,1.0,2.0,1.0,0.0,1.0,63.0,25.0,0.0,0.0,141.0
SM4_20120619,766.0,33.337142499999992,0.0,3.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,32.0,41.0,0.0,0.0,87.0
