site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818,bug_count
JPHRP,20110727,SM3_20110727,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,4.4000000000000004
HOCRR,20110728,SM3_20110728,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
HOCRR,20110729,SM3_20110729,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
HOCRR,20110730,SM3_20110730,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
HOCRR,20110731,SM3_20110731,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
COHOR,20110803,SM3_20110803,20110802,20110714,20110802,20110818,,,,
COHOR,20110804,SM3_20110804,20110802,20110714,20110802,20110818,,,,
COHOR,20110805,SM3_20110805,20110802,20110714,20110802,20110818,,,,
GRYOR,20110806,SM3_20110806,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,2.2000000000000002
GRYOR,20110807,SM3_20110807,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,2.2000000000000002
GRYOR,20110808,SM3_20110808,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,2.2000000000000002
GRYOR,20110809,SM3_20110809,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,2.2000000000000002
GRYOR,20110810,SM3_20110810,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,2.2000000000000002
GRYOR,20110811,SM3_20110811,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,1.0
GRYOR,20110812,SM3_20110812,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,1.0
COWAP,20110813,SM3_20110813,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAP,20110814,SM3_20110814,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAP,20110815,SM3_20110815,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAP,20110816,SM3_20110816,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
GRRUR,20110817,SM3_20110817,20110818,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001,13.800000000000001
GRRUR,20110818,SM3_20110818,20110818,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001,13.800000000000001
GRRUR,20110819,SM3_20110819,20110818,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001,13.800000000000001
JPHRP,20110820,SM3_20110820,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,3.6000000000000001
JPHRP,20110821,SM3_20110821,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,3.6000000000000001
JPHRP,20110822,SM3_20110822,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,3.6000000000000001
RIWRR,20110823,SM3_20110823,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0,3.0
RIWRR,20110824,SM3_20110824,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0,3.0
RIWRR,20110825,SM3_20110825,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0,3.0
RIWRR,20110826,SM3_20110826,20110818,20110714,20110802,20110818,9.4000000000000004,7.2000000000000002,3.0,3.0
COHOX,20110827,SM3_20110827,20110818,20110714,20110802,20110818,,,,
COHOX,20110828,SM3_20110828,20110818,20110714,20110802,20110818,,,,
COHOX,20110829,SM3_20110829,20110818,20110714,20110802,20110818,,,,
FOGAR,20110714,SM4_20110714,20110714,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999,20.600000000000001
FOGAR,20110715,SM4_20110715,20110714,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999,20.600000000000001
FOGAR,20110716,SM4_20110716,20110714,20110714,20110802,20110818,20.600000000000001,23.399999999999999,17.399999999999999,20.600000000000001
GRYOP,20110717,SM4_20110717,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,0.80000000000000004
GRYOP,20110718,SM4_20110718,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,0.80000000000000004
GRYOP,20110719,SM4_20110719,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,0.80000000000000004
GRYOP,20110720,SM4_20110720,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0,0.80000000000000004
GRRUR,20110721,SM4_20110721,20110714,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001,16.0
GRRUR,20110722,SM4_20110722,20110714,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001,16.0
GRRUR,20110723,SM4_20110723,20110714,20110714,20110802,20110818,16.0,22.399999999999999,13.800000000000001,16.0
SMMIP,20110724,SM4_20110724,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
SMMIP,20110725,SM4_20110725,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
SMMIP,20110726,SM4_20110726,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
SMMIP,20110727,SM4_20110727,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
HOCRP,20110728,SM4_20110728,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
HOCRP,20110729,SM4_20110729,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
HOCRP,20110730,SM4_20110730,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
HOCRP,20110731,SM4_20110731,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,89.599999999999994
COHOP,20110803,SM4_20110803,20110802,20110714,20110802,20110818,,,,
COHOP,20110804,SM4_20110804,20110802,20110714,20110802,20110818,,,,
COHOP,20110805,SM4_20110805,20110802,20110714,20110802,20110818,,,,
GRCAR,20110806,SM4_20110806,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0,0.40000000000000002
GRCAR,20110807,SM4_20110807,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0,0.40000000000000002
GRCAR,20110808,SM4_20110808,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0,0.40000000000000002
GRCAR,20110809,SM4_20110809,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0,0.40000000000000002
GRCAR,20110810,SM4_20110810,20110802,20110714,20110802,20110818,1.2,0.40000000000000002,0.0,0.40000000000000002
GRCAR,20110811,SM4_20110811,20110818,20110714,20110802,20110818,1.2,0.40000000000000002,0.0,0.0
GRCAR,20110812,SM4_20110812,20110818,20110714,20110802,20110818,1.2,0.40000000000000002,0.0,0.0
COWAR,20110813,SM4_20110813,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAR,20110814,SM4_20110814,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAR,20110815,SM4_20110815,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAR,20110816,SM4_20110816,20110818,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
JPBDR,20110817,SM4_20110817,20110818,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001,13.800000000000001
JPBDR,20110818,SM4_20110818,20110818,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001,13.800000000000001
JPBDR,20110819,SM4_20110819,20110818,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001,13.800000000000001
JPHRX,20110820,SM4_20110820,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,3.6000000000000001
JPHRX,20110821,SM4_20110821,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,3.6000000000000001
JPHRX,20110822,SM4_20110822,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001,3.6000000000000001
RILAR,20110823,SM4_20110823,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0,14.0
RILAR,20110824,SM4_20110824,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0,14.0
RILAR,20110825,SM4_20110825,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0,14.0
RILAR,20110826,SM4_20110826,20110818,20110714,20110802,20110818,19.0,29.199999999999999,14.0,14.0
CLAMR,20110827,SM4_20110827,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998,5.7999999999999998
CLAMR,20110828,SM4_20110828,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998,5.7999999999999998
CLAMR,20110829,SM4_20110829,20110818,20110714,20110802,20110818,5.0,,5.7999999999999998,5.7999999999999998
COWAR,20110714,SM5_20110714,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAR,20110715,SM5_20110715,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAR,20110716,SM5_20110716,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
PIKAR,20110717,SM5_20110717,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999,20.399999999999999
PIKAR,20110718,SM5_20110718,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999,20.399999999999999
PIKAR,20110719,SM5_20110719,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999,20.399999999999999
PIKAR,20110720,SM5_20110720,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999,20.399999999999999
BECKR,20110721,SM5_20110721,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004,2.0
BECKR,20110722,SM5_20110722,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004,2.0
BECKR,20110723,SM5_20110723,20110714,20110714,20110802,20110818,2.0,9.0,6.4000000000000004,2.0
SMMIX,20110724,SM5_20110724,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
SMMIX,20110725,SM5_20110725,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
SMMIX,20110726,SM5_20110726,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
SMMIX,20110727,SM5_20110727,20110802,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,9.8000000000000007
COLAR,20110728,SM5_20110728,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6,40.0
COLAR,20110729,SM5_20110729,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6,40.0
COLAR,20110730,SM5_20110730,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6,40.0
COLAR,20110731,SM5_20110731,20110802,20110714,20110802,20110818,43.799999999999997,40.0,10.6,40.0
CLAMP,20110803,SM5_20110803,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998,
CLAMP,20110804,SM5_20110804,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998,
CLAMP,20110805,SM5_20110805,20110802,20110714,20110802,20110818,5.0,,5.7999999999999998,
NCTBR,20110806,SM5_20110806,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001,24.0
NCTBR,20110807,SM5_20110807,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001,24.0
NCTBR,20110808,SM5_20110808,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001,24.0
NCTBR,20110809,SM5_20110809,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001,24.0
