site,extra,pair,detector_date,ncalls,qual,date,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA,Hab05km,Hab10km,Hab15km,Hab20km,Hab25km,Hab30km,Hab35km,Hab40km,Hab45km,Hab50km,Hab55km,Hab60km,bug_count,min_temp,mean_temp
GRCAR,0,0,SM2_20110715,508,22.59775939,20110715,4,22,0,0,2,3,1,0,0,7,0,21,4,0,0,64,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,1.2,18.1,21.77539683
GRCAR,0,0,SM2_20110716,720,24.00354231,20110716,1,9,0,0,7,3,0,0,0,12,0,24,15,0,0,71,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,1.2,19.4,22.6480315
NCTCR,0,0,SM2_20110717,94,4.479878565,20110717,0,1,0,0,2,0,0,0,5,0,0,1,2,0,0,11,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,17.4,22.6023622
NCTCR,0,0,SM2_20110718,56,4.136886364,20110718,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,11,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,20.1,24.23937008
NCTCR,0,0,SM2_20110719,76,2.099571678,20110719,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,18.1,24.67874016
NCTCR,0,0,SM2_20110720,6,0.99,20110720,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,21.6,26.0203125
FNSUP,0,1,SM2_20110721,728,23.26084881,20110721,1,28,0,0,8,2,1,0,0,0,0,6,18,0,0,64,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,22.1,26.48671875
FNSUP,0,1,SM2_20110722,748,28.66063088,20110722,1,31,0,0,8,2,0,0,0,0,0,16,16,0,2,76,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,21.1,25.29765625
FNSUP,0,1,SM2_20110723,1312,37.46827532,20110723,5,30,2,0,12,4,0,1,0,0,0,18,33,0,0,105,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,20.4,24.34765625
SMMIX,1,0,SM2_20110724,315,15.00821137,20110724,0,11,0,0,1,2,1,0,0,2,0,1,15,0,3,36,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,20.1,22.86356589
SMMIX,1,0,SM2_20110725,277,12.5083692,20110725,0,5,0,0,3,0,3,0,0,1,0,6,13,1,2,34,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,20.1,23.00697674
SMMIX,1,0,SM2_20110726,668,26.1884754,20110726,2,11,0,0,1,0,1,0,0,0,1,2,33,0,13,64,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,21.1,24.73565891
SMMIX,1,0,SM2_20110727,644,20.5743634,20110727,4,26,0,0,1,2,1,0,0,0,0,9,13,0,0,56,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,19.3,23.93923077
RIWRR,0,0,SM2_20110728,331,8.988320362,20110728,1,5,0,0,7,1,0,0,0,0,0,13,2,0,0,29,0.1,0.16,0.25,0.31,0.37,0.44,0.48,0.5,0.51,0.52,0.54,0.55,7.2,20.3,24.58
RIWRR,0,0,SM2_20110729,258,12.7084057,20110729,1,7,0,0,5,3,1,0,0,0,0,16,3,0,0,36,0.1,0.16,0.25,0.31,0.37,0.44,0.48,0.5,0.51,0.52,0.54,0.55,7.2,20.4,24.65153846
RIWRR,0,0,SM2_20110730,221,14.22780746,20110730,1,10,0,0,2,9,0,0,0,0,0,12,3,0,0,37,0.1,0.16,0.25,0.31,0.37,0.44,0.48,0.5,0.51,0.52,0.54,0.55,7.2,20.3,24.16564885
CLAMR,0,0,SM2_20110803,505,12.74805489,20110803,1,25,0,0,0,3,0,0,0,0,0,3,2,0,0,34,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,19.9,24.14772727
CLAMR,0,0,SM2_20110804,23,3.886,20110804,0,1,0,0,0,0,1,0,0,0,0,6,0,0,2,10,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,19.6,23.99398496
CLAMR,0,0,SM2_20110805,1174,18.51522466,20110805,0,45,0,0,0,1,0,0,1,0,0,2,3,0,0,52,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,19.6,23.96240602
GRYOP,0,1,SM2_20110806,113,4.265198412,20110806,3,0,0,0,0,0,1,0,0,0,0,1,6,0,0,11,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.6,23.53684211
GRYOP,0,1,SM2_20110807,166,8.359397565,20110807,3,0,0,0,0,3,0,0,0,0,0,6,7,0,0,19,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.6,22.69179104
GRYOP,0,1,SM2_20110808,62,5.295841269,20110808,1,1,0,0,0,1,0,0,0,0,0,4,6,0,0,13,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.8,23.26940299
GRYOP,0,1,SM2_20110809,162,6.528894976,20110809,0,3,0,0,0,2,0,0,1,0,0,1,10,0,0,17,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.9,23.2380597
GRYOP,0,1,SM2_20110810,86,7.033672619,20110810,2,3,0,0,0,3,1,0,1,0,0,2,4,0,0,16,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.9,22.4637037
GRYOP,0,1,SM2_20110811,119,3.896687321,20110811,2,0,0,0,0,2,0,0,0,0,0,2,5,0,0,11,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,1,18.3,21.3
GRYOP,0,1,SM2_20110812,156,8.81890882,20110812,2,2,0,0,1,2,1,0,0,0,0,7,3,0,1,19,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,1,17.4,21.50661765
PIKAR,0,0,SM2_20110813,161,9.577419693,20110813,5,1,1,0,0,3,0,1,0,0,0,2,7,0,3,23,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,18.9,24.66323529
PIKAR,0,0,SM2_20110814,234,6.859263281,20110814,7,1,0,0,0,2,0,0,0,0,0,6,4,0,0,20,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,15.3,22.88978102
PIKAR,0,0,SM2_20110815,212,8.014545917,20110815,3,3,0,0,2,5,0,0,0,0,0,4,5,0,0,22,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,20.9,24.56642336
PIKAR,0,0,SM2_20110816,194,9.09744071,20110816,2,4,0,0,0,5,1,0,0,0,1,4,8,1,0,26,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,20.3,23.81386861
BECKR,0,0,SM2_20110817,210,9.444232134,20110817,0,2,0,0,3,4,0,0,2,1,0,6,6,0,0,24,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,6.4,19.3,24.17246377
BECKR,0,0,SM2_20110818,207,10.10014462,20110818,0,4,0,0,4,9,1,0,2,0,0,2,5,0,0,27,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,6.4,18.6,22.53623188
BECKR,0,0,SM2_20110819,155,7.40157906,20110819,3,6,0,0,0,1,0,0,0,0,0,6,3,0,0,19,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,6.4,20.6,22.40083333
JPHRR,0,0,SM2_20110820,1296,35.14366085,20110820,7,17,1,0,2,0,12,3,0,2,2,2,56,0,0,104,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,20.1,24.44100719
JPHRR,0,0,SM2_20110821,1350,34.98196709,20110821,9,8,1,0,5,1,6,0,1,4,1,8,55,0,1,100,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,20.3,24.30642857
JPHRR,0,0,SM2_20110822,1231,37.27131362,20110822,9,10,0,0,1,3,6,1,2,5,2,5,59,1,0,104,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,20.1,24.41928571
COLAR,0,0,SM2_20110823,182,8.012853026,20110823,1,5,0,0,0,7,0,2,1,1,0,1,5,0,0,23,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,18.4,25.04142857
COLAR,0,0,SM2_20110824,36,2.15925,20110824,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,19.3,24.82269504
COLAR,0,0,SM2_20110825,89,3.880183984,20110825,1,1,0,0,0,2,0,0,0,0,0,5,4,0,0,13,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,19.4,23.95177305
COLAR,0,0,SM2_20110826,113,6.41469697,20110826,2,5,0,0,0,5,0,1,1,0,0,2,2,0,0,18,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,17.8,22.86478873
COHOR,0,0,SM2_20110827,138,10.33525186,20110827,3,10,0,0,3,1,0,0,0,1,0,4,2,0,0,24,,,,,,,,,,,,,,18.9,25.33309859
COHOR,0,0,SM2_20110828,149,10.4110569,20110828,0,3,0,0,6,5,0,0,0,0,0,4,7,0,1,26,,,,,,,,,,,,,,17.4,24.63146853
HYDER,0,0,SM3_20110714,464,8.513662506,20110714,0,0,1,0,0,0,0,0,0,4,0,9,14,0,0,28,0.58,0.51,0.52,0.49,0.48,0.47,0.48,0.47,0.46,0.46,0.46,0.47,2,15,19.8047619
