detector_date,bug_count
SM6_20110829,
SM1_20110823,10.6
SM1_20110824,10.6
SM1_20110825,10.6
SM1_20110826,10.6
SM2_20110823,10.6
SM2_20110824,10.6
SM2_20110825,10.6
SM2_20110826,10.6
SM3_20110813,0.80000000000000004
SM3_20110814,0.80000000000000004
SM3_20110815,0.80000000000000004
SM3_20110816,0.80000000000000004
SM4_20110813,0.80000000000000004
SM4_20110814,0.80000000000000004
SM4_20110815,0.80000000000000004
SM4_20110816,0.80000000000000004
SM5_20110817,0.80000000000000004
SM5_20110818,0.80000000000000004
SM5_20110819,0.80000000000000004
SM6_20110817,0.80000000000000004
SM6_20110818,0.80000000000000004
SM6_20110819,0.80000000000000004
SM1_20110811,17.399999999999999
SM1_20110812,17.399999999999999
SM6_20110811,16.0
SM6_20110812,16.0
SM4_20110811,0.0
SM4_20110812,0.0
SM3_20110817,13.800000000000001
SM3_20110818,13.800000000000001
SM3_20110819,13.800000000000001
SM2_20110811,1.0
SM2_20110812,1.0
SM3_20110811,1.0
SM3_20110812,1.0
SM5_20110823,34.200000000000003
SM5_20110824,34.200000000000003
SM5_20110825,34.200000000000003
SM5_20110826,34.200000000000003
SM6_20110823,34.200000000000003
SM6_20110824,34.200000000000003
SM6_20110825,34.200000000000003
SM6_20110826,34.200000000000003
SM6_20110813,0.0
SM6_20110814,0.0
SM6_20110815,0.0
SM6_20110816,0.0
SM4_20110817,13.800000000000001
SM4_20110818,13.800000000000001
SM4_20110819,13.800000000000001
SM3_20110820,3.6000000000000001
SM3_20110821,3.6000000000000001
SM3_20110822,3.6000000000000001
SM2_20110820,3.6000000000000001
SM2_20110821,3.6000000000000001
SM2_20110822,3.6000000000000001
SM1_20110820,3.6000000000000001
SM1_20110821,3.6000000000000001
SM1_20110822,3.6000000000000001
SM4_20110820,3.6000000000000001
SM4_20110821,3.6000000000000001
SM4_20110822,3.6000000000000001
SM5_20110811,20.800000000000001
SM5_20110812,20.800000000000001
SM5_20110813,11.0
SM5_20110814,11.0
SM5_20110815,11.0
SM5_20110816,11.0
SM1_20110813,16.199999999999999
SM1_20110814,16.199999999999999
SM1_20110815,16.199999999999999
SM1_20110816,16.199999999999999
SM2_20110813,16.199999999999999
SM2_20110814,16.199999999999999
SM2_20110815,16.199999999999999
SM2_20110816,16.199999999999999
SM4_20110823,14.0
SM4_20110824,14.0
SM4_20110825,14.0
SM4_20110826,14.0
SM3_20110823,3.0
SM3_20110824,3.0
SM3_20110825,3.0
SM3_20110826,3.0
SM5_20110820,5.0
SM5_20110821,5.0
SM5_20110822,5.0
SM6_20110820,5.0
SM6_20110821,5.0
SM6_20110822,5.0
