date_time,date,time,temp,external
20110714_023401,2011-Jul-15,02:34:01,21.100000000000001,0.40600000000000003
20110714_023901,2011-Jul-15,02:39:01,21.100000000000001,0.40600000000000003
20110714_024401,2011-Jul-15,02:44:01,21.100000000000001,0.40600000000000003
20110714_024901,2011-Jul-15,02:49:01,21.100000000000001,0.40600000000000003
20110714_025401,2011-Jul-15,02:54:01,21.100000000000001,0.40600000000000003
20110714_025901,2011-Jul-15,02:59:01,21.100000000000001,0.40200000000000002
20110714_030401,2011-Jul-15,03:04:01,21.100000000000001,0.40200000000000002
20110714_030901,2011-Jul-15,03:09:01,21.100000000000001,0.40600000000000003
20110714_031401,2011-Jul-15,03:14:01,20.899999999999999,0.40200000000000002
20110714_031901,2011-Jul-15,03:19:01,20.899999999999999,0.40200000000000002
20110714_032401,2011-Jul-15,03:24:01,20.899999999999999,0.40200000000000002
