,site,date,detector_date,bug_date,bug_count
2,BECKP,20110819,SM1_20110819,20110818,6.4
6,BECKR,20110817,SM2_20110817,20110818,6.4
7,BECKR,20110818,SM2_20110818,20110818,6.4
8,BECKR,20110819,SM2_20110819,20110818,6.4
12,CLAMP,20110827,SM1_20110827,20110818,5.8
13,CLAMP,20110828,SM1_20110828,20110818,5.8
14,CLAMP,20110829,SM1_20110829,20110818,5.8
21,CLAMR,20110827,SM4_20110827,20110818,5.8
22,CLAMR,20110828,SM4_20110828,20110818,5.8
23,CLAMR,20110829,SM4_20110829,20110818,5.8
33,COHOP,20110827,SM5_20110827,20110818,
34,COHOP,20110828,SM5_20110828,20110818,
35,COHOP,20110829,SM5_20110829,20110818,
36,COHOR,20110827,SM2_20110827,20110818,
37,COHOR,20110828,SM2_20110828,20110818,
38,COHOR,20110829,SM2_20110829,20110818,
42,COHOX,20110827,SM3_20110827,20110818,
43,COHOX,20110828,SM3_20110828,20110818,
44,COHOX,20110829,SM3_20110829,20110818,
45,COHOX,20110827,SM6_20110827,20110818,
46,COHOX,20110828,SM6_20110828,20110818,
47,COHOX,20110829,SM6_20110829,20110818,
48,COLAP,20110823,SM1_20110823,20110818,10.6
49,COLAP,20110824,SM1_20110824,20110818,10.6
50,COLAP,20110825,SM1_20110825,20110818,10.6
51,COLAP,20110826,SM1_20110826,20110818,10.6
56,COLAR,20110823,SM2_20110823,20110818,10.6
57,COLAR,20110824,SM2_20110824,20110818,10.6
58,COLAR,20110825,SM2_20110825,20110818,10.6
59,COLAR,20110826,SM2_20110826,20110818,10.6
64,COWAP,20110813,SM3_20110813,20110818,0.8
65,COWAP,20110814,SM3_20110814,20110818,0.8
66,COWAP,20110815,SM3_20110815,20110818,0.8
67,COWAP,20110816,SM3_20110816,20110818,0.8
71,COWAR,20110813,SM4_20110813,20110818,0.8
72,COWAR,20110814,SM4_20110814,20110818,0.8
73,COWAR,20110815,SM4_20110815,20110818,0.8
74,COWAR,20110816,SM4_20110816,20110818,0.8
81,FNSUP,20110817,SM5_20110817,20110818,0.8
82,FNSUP,20110818,SM5_20110818,20110818,0.8
83,FNSUP,20110819,SM5_20110819,20110818,0.8
87,FNSUR,20110817,SM6_20110817,20110818,0.8
88,FNSUR,20110818,SM6_20110818,20110818,0.8
89,FNSUR,20110819,SM6_20110819,20110818,0.8
95,FOGAR,20110811,SM1_20110811,20110818,17.4
96,FOGAR,20110812,SM1_20110812,20110818,17.4
108,GRACR,20110811,SM6_20110811,20110818,16
109,GRACR,20110812,SM6_20110812,20110818,16
118,GRCAR,20110811,SM4_20110811,20110818,0
119,GRCAR,20110812,SM4_20110812,20110818,0
120,GRRUR,20110817,SM3_20110817,20110818,13.8
121,GRRUR,20110818,SM3_20110818,20110818,13.8
122,GRRUR,20110819,SM3_20110819,20110818,13.8
131,GRYOP,20110811,SM2_20110811,20110818,1
132,GRYOP,20110812,SM2_20110812,20110818,1
146,GRYOR,20110811,SM3_20110811,20110818,1
147,GRYOR,20110812,SM3_20110812,20110818,1
152,HOCRP,20110823,SM5_20110823,20110818,34.2
153,HOCRP,20110824,SM5_20110824,20110818,34.2
154,HOCRP,20110825,SM5_20110825,20110818,34.2
155,HOCRP,20110826,SM5_20110826,20110818,34.2
160,HOCRR,20110823,SM6_20110823,20110818,34.2
161,HOCRR,20110824,SM6_20110824,20110818,34.2
162,HOCRR,20110825,SM6_20110825,20110818,34.2
163,HOCRR,20110826,SM6_20110826,20110818,34.2
167,HYDER,20110813,SM6_20110813,20110818,0
168,HYDER,20110814,SM6_20110814,20110818,0
169,HYDER,20110815,SM6_20110815,20110818,0
170,HYDER,20110816,SM6_20110816,20110818,0
174,JPBDR,20110817,SM4_20110817,20110818,13.8
175,JPBDR,20110818,SM4_20110818,20110818,13.8
176,JPBDR,20110819,SM4_20110819,20110818,13.8
181,JPHRP,20110820,SM3_20110820,20110818,3.6
182,JPHRP,20110821,SM3_20110821,20110818,3.6
183,JPHRP,20110822,SM3_20110822,20110818,3.6
184,JPHRR,20110820,SM2_20110820,20110818,3.6
185,JPHRR,20110821,SM2_20110821,20110818,3.6
186,JPHRR,20110822,SM2_20110822,20110818,3.6
191,JPHRX,20110820,SM1_20110820,20110818,3.6
192,JPHRX,20110821,SM1_20110821,20110818,3.6
193,JPHRX,20110822,SM1_20110822,20110818,3.6
194,JPHRX,20110820,SM4_20110820,20110818,3.6
195,JPHRX,20110821,SM4_20110821,20110818,3.6
196,JPHRX,20110822,SM4_20110822,20110818,3.6
206,NCTBR,20110811,SM5_20110811,20110818,20.8
207,NCTBR,20110812,SM5_20110812,20110818,20.8
212,NCTCR,20110813,SM5_20110813,20110818,11
213,NCTCR,20110814,SM5_20110814,20110818,11
214,NCTCR,20110815,SM5_20110815,20110818,11
215,NCTCR,20110816,SM5_20110816,20110818,11
216,PIKAP,20110813,SM1_20110813,20110818,16.2
217,PIKAP,20110814,SM1_20110814,20110818,16.2
218,PIKAP,20110815,SM1_20110815,20110818,16.2
219,PIKAP,20110816,SM1_20110816,20110818,16.2
224,PIKAR,20110813,SM2_20110813,20110818,16.2
225,PIKAR,20110814,SM2_20110814,20110818,16.2
226,PIKAR,20110815,SM2_20110815,20110818,16.2
227,PIKAR,20110816,SM2_20110816,20110818,16.2
236,RILAR,20110823,SM4_20110823,20110818,14
237,RILAR,20110824,SM4_20110824,20110818,14
238,RILAR,20110825,SM4_20110825,20110818,14
239,RILAR,20110826,SM4_20110826,20110818,14
244,RIWRR,20110823,SM3_20110823,20110818,3
245,RIWRR,20110824,SM3_20110824,20110818,3
246,RIWRR,20110825,SM3_20110825,20110818,3
247,RIWRR,20110826,SM3_20110826,20110818,3
252,SMMIP,20110820,SM5_20110820,20110818,5
253,SMMIP,20110821,SM5_20110821,20110818,5
254,SMMIP,20110822,SM5_20110822,20110818,5
259,SMMIR,20110820,SM6_20110820,20110818,5
260,SMMIR,20110821,SM6_20110821,20110818,5
261,SMMIR,20110822,SM6_20110822,20110818,5
