detector_date,max_temp,min_temp,temp_sunset,mean_temp
SM5_20110820,27.9,19.3,24.2,23.77410072
SM5_20110821,28.5,19.6,25.9,23.725
SM5_20110822,30.8,17.6,28.5,23.94
SM5_20110823,29.7,17.3,26.9,22.81
SM5_20110824,27.9,18.3,25.2,22.63971631
SM5_20110825,27.9,17.4,25.2,21.67234043
SM5_20110826,26.9,16.6,24.4,20.80211268
SM5_20110827,31.5,19.1,27.5,25.04014085
SM5_20110828,30.7,17.1,27.5,24.06923077
SM5_20110829,30.8,16.1,27.9,23.59020979
SM5_20120609,30.2,21.6,26,27.01129032
SM5_20120610,30.5,12.5,28,20.92903226
SM5_20120611,30.2,14.3,27.4,22.15447154
SM5_20120612,32.2,15.8,29.3,24.00487805
SM5_20120613,26.7,12.5,22.9,20.43252033
SM5_20120614,26.9,12.3,23.7,20.26097561
SM5_20120615,29.3,14.6,26.2,22.01544715
SM5_20120616,34.5,18.1,31.7,25.76341463
SM5_20120617,28.5,18.3,25.5,22.67723577
SM5_20120618,23.2,13.6,20.3,18.82195122
SM5_20120619,28.7,14,26,21.00813008
SM5_20120620,30.2,16,26.9,22.97154472
SM5_20120621,23.2,12.7,19.8,18.22357724
SM5_20120622,22.2,13.2,17.9,19.2796748
SM5_20120623,23.4,8.7,20.6,16.32682927
SM5_20120624,23.6,9.2,21.1,15.79674797
SM5_20120625,23.4,9.4,20.1,16.88943089
SM5_20120626,27.2,15.1,23.1,22.16666667
SM5_20120627,30.5,14.3,27.5,22.74634146
SM5_20120628,29.2,16.5,26,21.37886179
SM5_20120629,29,17.9,26.4,22.93089431
SM5_20120630,28.4,21.9,24.9,25.27479675
SM5_20120701,26.5,20.9,23.7,24.43225806
SM5_20120702,25.1,14.5,22.2,20.01451613
SM5_20120703,25.9,15.3,23.4,20.75967742
SM5_20120704,25.9,18.4,21.6,22.88467742
SM5_20120705,25.4,17.9,21.7,21.27177419
SM5_20120706,27.2,14.3,23.9,20.60806452
SM5_20120707,31.5,18.1,29,22.6232
SM5_20120708,28,12.8,25.5,20.2096
SM5_20120709,28.2,16.6,25.7,20.5304
SM5_20120710,32.5,14.6,30.7,22.54
SM5_20120711,33.3,17.8,30,25.1704
SM5_20120712,29.5,19.4,26.9,23.48968254
SM5_20120713,25.1,18.1,22.2,21.83253968
SM5_20120714,27,15.6,24.2,21.2
SM5_20120715,24.2,16.3,21.4,20.45793651
