site,date,detector_date,bug_date,bug_1,bug_2,bug_3
RIWRR,20110826,SM3_20110826,20110818,20110714,20110802,20110818
SMMIP,20110724,SM4_20110724,20110802,20110714,20110802,20110818
SMMIP,20110725,SM4_20110725,20110802,20110714,20110802,20110818
SMMIP,20110726,SM4_20110726,20110802,20110714,20110802,20110818
SMMIP,20110727,SM4_20110727,20110802,20110714,20110802,20110818
SMMIP,20110820,SM5_20110820,20110818,20110714,20110802,20110818
SMMIP,20110821,SM5_20110821,20110818,20110714,20110802,20110818
SMMIP,20110822,SM5_20110822,20110818,20110714,20110802,20110818
SMMIR,20110724,SM1_20110724,20110802,20110714,20110802,20110818
SMMIR,20110725,SM1_20110725,20110802,20110714,20110802,20110818
SMMIR,20110726,SM1_20110726,20110802,20110714,20110802,20110818
SMMIR,20110727,SM1_20110727,20110802,20110714,20110802,20110818
SMMIR,20110820,SM6_20110820,20110818,20110714,20110802,20110818
SMMIR,20110821,SM6_20110821,20110818,20110714,20110802,20110818
SMMIR,20110822,SM6_20110822,20110818,20110714,20110802,20110818
SMMIX,20110724,SM2_20110724,20110802,20110714,20110802,20110818
SMMIX,20110725,SM2_20110725,20110802,20110714,20110802,20110818
SMMIX,20110726,SM2_20110726,20110802,20110714,20110802,20110818
SMMIX,20110727,SM2_20110727,20110802,20110714,20110802,20110818
SMMIX,20110724,SM5_20110724,20110802,20110714,20110802,20110818
SMMIX,20110725,SM5_20110725,20110802,20110714,20110802,20110818
SMMIX,20110726,SM5_20110726,20110802,20110714,20110802,20110818
SMMIX,20110727,SM5_20110727,20110802,20110714,20110802,20110818
