,site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818
130,GRYOP,20110810,SM2_20110810,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
131,GRYOP,20110811,SM2_20110811,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
132,GRYOP,20110812,SM2_20110812,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
133,GRYOP,20110717,SM4_20110717,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
134,GRYOP,20110718,SM4_20110718,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
135,GRYOP,20110719,SM4_20110719,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
136,GRYOP,20110720,SM4_20110720,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
137,GRYOR,20110717,SM1_20110717,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
138,GRYOR,20110718,SM1_20110718,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
139,GRYOR,20110719,SM1_20110719,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
140,GRYOR,20110720,SM1_20110720,20110714,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
141,GRYOR,20110806,SM3_20110806,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
142,GRYOR,20110807,SM3_20110807,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
143,GRYOR,20110808,SM3_20110808,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
144,GRYOR,20110809,SM3_20110809,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
145,GRYOR,20110810,SM3_20110810,20110802,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
146,GRYOR,20110811,SM3_20110811,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
147,GRYOR,20110812,SM3_20110812,20110818,20110714,20110802,20110818,0.80000000000000004,2.2000000000000002,1.0
148,HOCRP,20110728,SM4_20110728,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
149,HOCRP,20110729,SM4_20110729,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
150,HOCRP,20110730,SM4_20110730,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
151,HOCRP,20110731,SM4_20110731,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
152,HOCRP,20110823,SM5_20110823,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
153,HOCRP,20110824,SM5_20110824,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
154,HOCRP,20110825,SM5_20110825,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
155,HOCRP,20110826,SM5_20110826,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
156,HOCRR,20110728,SM3_20110728,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
157,HOCRR,20110729,SM3_20110729,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
158,HOCRR,20110730,SM3_20110730,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
159,HOCRR,20110731,SM3_20110731,20110802,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
160,HOCRR,20110823,SM6_20110823,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
161,HOCRR,20110824,SM6_20110824,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
162,HOCRR,20110825,SM6_20110825,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
163,HOCRR,20110826,SM6_20110826,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003
164,HYDER,20110714,SM3_20110714,20110714,20110714,20110802,20110818,2.0,0.0,0.0
165,HYDER,20110715,SM3_20110715,20110714,20110714,20110802,20110818,2.0,0.0,0.0
166,HYDER,20110716,SM3_20110716,20110714,20110714,20110802,20110818,2.0,0.0,0.0
167,HYDER,20110813,SM6_20110813,20110818,20110714,20110802,20110818,2.0,0.0,0.0
168,HYDER,20110814,SM6_20110814,20110818,20110714,20110802,20110818,2.0,0.0,0.0
169,HYDER,20110815,SM6_20110815,20110818,20110714,20110802,20110818,2.0,0.0,0.0
170,HYDER,20110816,SM6_20110816,20110818,20110714,20110802,20110818,2.0,0.0,0.0
171,JPBDR,20110721,SM3_20110721,20110714,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001
172,JPBDR,20110722,SM3_20110722,20110714,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001
173,JPBDR,20110723,SM3_20110723,20110714,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001
174,JPBDR,20110817,SM4_20110817,20110818,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001
175,JPBDR,20110818,SM4_20110818,20110818,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001
176,JPBDR,20110819,SM4_20110819,20110818,20110714,20110802,20110818,12.199999999999999,8.5999999999999996,13.800000000000001
177,JPHRP,20110724,SM3_20110724,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
178,JPHRP,20110725,SM3_20110725,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
179,JPHRP,20110726,SM3_20110726,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
180,JPHRP,20110727,SM3_20110727,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
